up/up6.csv  : [320, -560, 640, -280, 640, -240, 320, -600, 320, -560, 640, -280, 320, -560, 320, -600, 280, -600, 600, -320, 600, -280, 600, -320, 280, -600, 600, -320, 280, -600, 280, -600, 280, -640, 600, -280, 600, -320, 560, -320, 280, -640, 560, -320, 600]
up/up7.csv  : [320, -600, 600, -280, 640, -280, 320, -560, 320, -600, 600, -280, 320, -600, 280, -600, 320, -600, 600, -280, 600, -280, 600, -320, 280, -600, 600, -320, 280, -600, 280, -640, 280, -600, 600, -320, 560, -320, 600, -280, 320, -600, 600, -320, 560]
up/up8.csv  : [320, -600, 600, -280, 640, -280, 320, -560, 320, -600, 600, -280, 320, -600, 280, -600, 320, -560, 640, -280, 600, -280, 640, -280, 280, -600, 600, -320, 280, -600, 280, -640, 280, -600, 600, -280, 600, -320, 580, -300, 280, -640, 580, -300, 600]
down/down0.csv: [560, -320, 1720, -40, 520, -400, 520, -400, 760, -120, 480, -440, 440, -440, 440, -440, 760, -160, 720, -160, 720, -160, 440, -480, 720, -160, 440, -480, 400, -480, 400, -520, 400, -480, 400, -520, 400, -480, 400, -520, 400, -480, 400]
down/down1.csv: [400, -480, 760, -120, 720, -200, 400, -520, 400, -480, 720, -200, 360, -520, 400, -520, 360, -520, 720, -160, 720, -200, 680, -200, 400, -520, 680, -200, 360, -560, 360, -520, 360, -560, 320, -560, 360, -560, 320, -560, 360, -560, 360, -520, 360]
down/down2.csv: [400, -480, 680, -240, 680, -200, 400, -520, 360, -520, 680, -240, 360, -520, 360, -560, 320, -560, 680, -200, 680, -240, 640, -240, 360, -560, 640, -240, 360, -560, 320, -560, 320, -560, 360, -560, 320, -560, 320, -600, 320, -560, 320, -600, 320]
down/down3.csv: [360, -520, 680, -200, 680, -240, 360, -520, 360, -560, 640, -240, 360, -560, 320, -560, 360, -560, 640, -240, 640, -240, 640, -280, 320, -560, 640, -280, 320, -560, 320, -560, 320, -600, 320, -560, 320, -600, 320, -560, 320, -560, 320, -600, 320]
down/down4.csv: [360, -520, 680, -240, 640, -240, 360, -560, 320, -560, 640, -280, 320, -560, 360, -520, 360, -560, 640, -240, 640, -280, 600, -280, 360, -520, 640, -280, 320, -560, 320, -600, 320, -560, 320, -560, 320, -600, 320, -560, 320, -600, 280, -600, 320]
down/down5.csv: [360, -520, 680, -240, 640, -240, 360, -520, 360, -560, 640, -240, 360, -560, 320, -560, 360, -560, 640, -240, 640, -280, 600, -280, 320, -560, 640, -280, 320, -560, 320, -600, 320, -560, 320, -600, 280, -600, 320, -560, 320, -600, 320, -560, 320]
down/down6.csv: [400, -520, 640, -240, 680, -240, 320, -560, 360, -560, 640, -240, 320, -560, 360, -560, 320, -560, 640, -280, 640, -240, 640, -280, 320, -560, 640, -280, 280, -600, 320, -600, 280, -600, 320, -560, 320, -600, 320, -560, 320, -600, 280, -600, 320]
down/down7.csv: [360, -560, 640, -240, 680, -200, 400, -520, 360, -520, 680, -240, 320, -560, 360, -560, 320, -560, 640, -280, 600, -280, 640, -240, 320, -600, 620, -260, 320, -600, 320, -560, 320, -560, 320, -600, 320, -560, 320, -600, 320, -560, 320, -600, 280]
down/down8.csv: [360, -520, 640, -280, 640, -240, 360, -560, 320, -560, 640, -240, 360, -560, 320, -560, 360, -560, 640, -240, 640, -280, 600, -280, 320, -560, 640, -280, 320, -560, 320, -600, 320, -560, 320, -600, 320, -560, 320, -560, 320, -600, 320, -560, 360]
